Tiempo	ya	va	ve	ye
4.789999999999942	435.4739100000021	-36.94199999999944	-36.941999999999844	435.23920000000004
4.799999999999942	435.10400000000215	-37.03999999999944	-37.03999999999984	434.8688
4.809999999999942	434.73311000000217	-37.13799999999944	-37.13799999999984	434.49742000000003
4.819999999999942	434.36124000000217	-37.23599999999943	-37.23599999999984	434.12506
4.8299999999999415	433.98839000000214	-37.33399999999943	-37.33399999999984	433.75172000000003
4.839999999999941	433.6145600000022	-37.43199999999943	-37.43199999999984	433.3774
4.849999999999941	433.23975000000223	-37.529999999999426	-37.52999999999984	433.00210000000004
4.859999999999941	432.8639600000022	-37.627999999999425	-37.62799999999984	432.62582000000003
4.869999999999941	432.4871900000022	-37.72599999999942	-37.725999999999836	432.24856000000005
4.87999999999994	432.1094400000022	-37.82399999999942	-37.823999999999835	431.87032000000005
4.88999999999994	431.73071000000226	-37.921999999999414	-37.921999999999834	431.4911000000001
4.89999999999994	431.3510000000023	-38.01999999999941	-38.01999999999983	431.1109000000001
4.90999999999994	430.9703100000023	-38.11799999999941	-38.11799999999983	430.7297200000001
4.9199999999999395	430.58864000000233	-38.21599999999941	-38.21599999999983	430.3475600000001
4.929999999999939	430.2059900000023	-38.31399999999941	-38.31399999999983	429.9644200000001
4.939999999999939	429.82236000000233	-38.41199999999941	-38.41199999999983	429.5803000000001
4.949999999999939	429.4377500000023	-38.5099999999994	-38.50999999999983	429.19520000000006
4.959999999999939	429.05216000000235	-38.6079999999994	-38.60799999999983	428.80912000000006
4.9699999999999385	428.66559000000234	-38.7059999999994	-38.705999999999825	428.42206000000004
4.979999999999938	428.2780400000024	-38.8039999999994	-38.803999999999824	428.03402000000006
4.989999999999938	427.8895100000024	-38.9019999999994	-38.90199999999982	427.64500000000004
4.999999999999938	427.5000000000024	-38.999999999999396	-38.99999999999982	427.25500000000005
5.009999999999938	427.1095100000024	-39.097999999999395	-39.09799999999982	426.86402000000004
5.019999999999937	426.7180400000025	-39.19599999999939	-39.19599999999982	426.47206000000006
5.029999999999937	426.3255900000024	-39.293999999999386	-39.29399999999982	426.07912000000005
5.039999999999937	425.93216000000245	-39.391999999999385	-39.39199999999982	425.68520000000007
5.049999999999937	425.53775000000246	-39.489999999999384	-39.48999999999982	425.29030000000006
5.0599999999999365	425.1423600000025	-39.58799999999938	-39.587999999999816	424.8944200000001
5.069999999999936	424.7459900000025	-39.68599999999938	-39.685999999999815	424.4975600000001
5.079999999999936	424.34864000000255	-39.78399999999938	-39.783999999999814	424.0997200000001
5.089999999999936	423.95031000000256	-39.88199999999937	-39.88199999999981	423.7009000000001
5.099999999999936	423.55100000000255	-39.97999999999937	-39.97999999999981	423.30110000000013
5.1099999999999355	423.15071000000256	-40.07799999999937	-40.07799999999981	422.90032000000014
5.119999999999935	422.7494400000026	-40.17599999999937	-40.17599999999981	422.4985600000001
5.129999999999935	422.3471900000026	-40.27399999999937	-40.27399999999981	422.0958200000001
5.139999999999935	421.9439600000026	-40.37199999999937	-40.37199999999981	421.6921000000001
5.149999999999935	421.53975000000264	-40.46999999999937	-40.46999999999981	421.2874000000001
5.159999999999934	421.13456000000264	-40.56799999999936	-40.567999999999806	420.8817200000001
5.169999999999934	420.72839000000266	-40.66599999999936	-40.665999999999805	420.4750600000001
5.179999999999934	420.32124000000266	-40.763999999999356	-40.763999999999804	420.0674200000001
5.189999999999934	419.9131100000027	-40.861999999999355	-40.8619999999998	419.6588000000001
5.199999999999934	419.5040000000027	-40.959999999999354	-40.9599999999998	419.2492000000001
5.209999999999933	419.0939100000027	-41.05799999999935	-41.0579999999998	418.8386200000001
5.219999999999933	418.6828400000028	-41.155999999999345	-41.1559999999998	418.4270600000001
